borough,tot_violence,tot_sexl_off,tot_robbery,tot_burglary,tot_theft_h,tot_fraud,tot_cr_dam,tot_drugs,tot_off,tot_cr,neet,neet_rate,hb_u25,hb_25_34,hb_35_44,incap_supp,inc_supp,emp_supp,tot_jsa_m,tot_jsa_f,pc_child_oow,life_sat,worthwhile,happiness,anxiety,three_risk,low_sat,bullied,bullies,fif_cannabis_lm,fif_drugs_ex_cannabis,active_houraday,fruitnveg,yo_violence,yo_sexl_off,yo_robbery,yo_burglary_dom,yo_burglary_nondom,yo_tot_burglary,yo_theft_h,yo_vehicle_theft,yo_fraud,yo_cr_dam,yo_drugs,tot_yo,tot_off,yo_ratio
Barking and Dagenham,"5,171.00",413,588,"1,534.00","5,349.00",24,"1,952.00","1,170.00","17,477.00",86.5,460,5.8,"1,133.00","4,716.00","5,356.00",780,"3,850.00","8,230.00","1,830.00","1,380.00",19.3,7.33,7.56,7.24,3.15,7.8,15,52.3,10.8,3.4,0.5,12,48.2,171,9,51,22,1,23,85,22,3,45,60,600,"17,477.00",0.0343
Barnet,"6,080.00",482,622,"3,878.00","9,246.00",54,"2,256.00",846,"24,978.00",65.8,220,2,"1,013.00","5,294.00","8,017.00","1,120.00","3,080.00","10,070.00","1,920.00","1,410.00",9.4,7.58,7.94,7.46,2.31,10.1,14.9,50.1,9.3,5.5,1.4,11.8,59.9,86,1,15,3,5,8,23,6,2,21,60,292,"24,978.00",0.0117
Bexley,"3,610.00",298,170,"1,096.00","4,238.00",10,"1,610.00",703,"12,644.00",52.2,240,2.8,824,"2,944.00","3,040.00",530,"2,760.00","6,390.00","1,090.00",950,13.4,7.55,7.8,7.39,3.13,15.5,14.3,51.9,8.9,4.7,1.4,12.3,46.9,91,15,4,2,8,10,40,7,2,32,59,308,"12,644.00",0.0244
Brent,"8,072.00",527,968,"2,717.00","8,657.00",38,"2,143.00","1,862.00","26,128.00",80.6,240,2.2,997,"5,486.00","9,494.00","1,110.00","3,630.00","11,220.00","3,260.00","2,040.00",13.9,7.27,7.47,7.36,2.51,7,17.5,48.2,11.8,5.6,0.8,9.9,60.1,188,9,34,8,13,21,54,10,3,32,78,560,"26,128.00",0.0214
Bromley,"5,966.00",413,362,"2,556.00","7,573.00",32,"2,259.00",859,"21,137.00",65.1,360,3.4,895,"3,369.00","3,668.00",700,"3,060.00","7,880.00","1,250.00",880,10.9,7.7,7.96,7.48,2.79,17.1,16.4,52.7,9.1,7.7,2.6,12.1,58.2,127,5,6,16,9,25,62,28,6,52,44,486,"21,137.00",0.023
Camden,"6,058.00",619,"1,013.00","2,810.00","14,256.00",31,"1,946.00","1,538.00","30,185.00",125.2,190,4.4,585,"2,894.00","5,278.00","1,060.00","2,860.00","10,000.00","1,550.00","1,060.00",16.6,7.29,7.56,7.22,3.21,12.8,16,42.6,11.4,7,2.3,12,55.8,78,4,26,3,3,6,34,7,13,22,43,313,"30,185.00",0.0104
Croydon,"8,914.00",743,718,"2,630.00","9,459.00",46,"3,114.00","1,463.00","28,951.00",76.4,400,2.9,"2,053.00","7,367.00","8,475.00","1,170.00","5,390.00","12,330.00","2,770.00","1,950.00",14.8,7.36,7.73,7.39,2.91,11,15.3,50.5,12.6,4.4,0.9,9.8,52.8,256,20,59,10,13,23,91,27,7,67,142,923,"28,951.00",0.0319
Ealing,"7,891.00",560,669,"2,473.00","9,543.00",53,"2,502.00","1,427.00","27,032.00",78.8,350,3.2,"1,015.00","5,374.00","8,439.00","1,270.00","3,660.00","11,390.00","3,020.00","1,900.00",13.2,7.64,7.85,7.48,3.28,7.7,15.9,44.1,7.9,3.7,1.2,10.3,60.6,127,15,14,3,7,10,46,20,17,25,63,489,"27,032.00",0.0181
Enfield,"6,288.00",515,907,"2,748.00","7,848.00",34,"2,110.00","1,337.00","22,942.00",69.9,440,3.5,"1,480.00","7,188.00","9,453.00","1,250.00","5,190.00","11,840.00","2,610.00","2,100.00",18.0,7.45,7.71,7.44,2.13,6.6,15,48.1,9.9,3.2,0.7,12.4,58.7,185,4,73,15,4,19,80,18,6,50,127,673,"22,942.00",0.0293
Greenwich,"6,837.00",534,478,"1,836.00","7,100.00",47,"2,385.00",922,"21,950.00",79.9,520,6.2,"1,288.00","4,716.00","5,678.00",960,"4,560.00","10,630.00","2,180.00","1,580.00",17.5,7.31,7.64,7.17,3.55,8.8,14.9,50,12.6,4.7,1.3,13.1,55.2,126,10,12,1,4,5,53,23,17,36,53,446,"21,950.00",0.0203
